row_index,duplicate_of_row_index,text,matched_text,category,matched_category,same_category,similarity
30,8,债券的k线图怎么看？,怎么看股票的k线图？,债券,股票,False,0.9401741623878479
76,3,什么是lof基金？,lof基金和etf有什么区别？,股票,基金,False,0.9272017478942871
85,10,什么是混合型基金？,什么是基金组合？,基金,基金,True,0.9038311839103699
106,104,什么是reits基金？投资房地产的基金吗？,什么是reits基金？,基金,基金,True,0.9610171914100647
109,12,什么是外币债券（如美元债）？有汇率风险吗？,投资新兴市场债券的汇率风险？,债券,债券,True,0.9163833856582642
138,57,可转债打新怎么操作？,可转债的交易规则是怎样的？,债券,股票,False,0.9043140411376953
143,82,什么是反转效应？,什么是v型反转？,股票,股票,True,0.9008133411407471
145,144,货币基金有没有风险？会不会亏？,债券基金的风险大吗？,基金,基金,True,0.9029150009155273
150,56,基金和股票有什么区别？,什么是股票基金？,基金,基金,True,0.932908296585083
166,124,黄金的长期实际收益率是多少？,黄金抵押贷款的利率是多少？,黄金,黄金,True,0.9170053005218506
170,57,什么是可转债？,可转债的交易规则是怎样的？,股票,股票,True,0.9189668893814087
171,115,数字人民币概念股有哪些？,数字人民币概念股有哪些？,股票,股票,True,0.9999998807907104
179,161,交易黄金期货需要开通什么权限？,想做黄金期货，需要单独开通什么权限吗？,黄金,黄金,True,0.9679193496704102
193,64,如何操作国债逆回购？有手续费吗？,国债逆回购怎么买？,债券,股票,False,0.9233300685882568
219,213,股票名称前面出现“st”是什么意思？,什么是st股？买入st股有什么风险？,股票,股票,True,0.9002571105957031
235,47,什么是非农就业数据？,什么是非农就业数据？,股票,股票,True,1.0
242,7,什么是世界杯魔咒？,什么是世界杯魔咒？,股票,股票,True,1.0000003576278687
245,160,黄金和股票哪个收益更高？,黄金和债券哪个更安全？,黄金,黄金,True,0.9231403470039368
247,114,基金账户销户怎么办理？,基金账户销户怎么办理？,基金,基金,True,0.9999997615814209
252,40,债券基金巨额赎回对净值有什么影响？,利率变动对债券基金有什么影响？,债券,基金,False,0.9079982042312622
256,137,什么是黄金期权？,什么是黄金远期？,黄金,黄金,True,0.9090608954429626
277,265,买卖etf需要交印花税吗？,买卖基金产生的印花税吗？,基金,基金,True,0.9196532368659973
282,229,什么是非系统性风险？,什么是非系统性风险？,股票,股票,True,1.0
291,22,股票退市了，我手里的股票怎么办？,股票退市了，我手里的股票怎么办？,股票,股票,True,1.000000238418579
298,3,联接基金和etf有什么区别？,lof基金和etf有什么区别？,基金,基金,True,0.9033445119857788
300,146,什么是净值型理财？,净值型理财怎么选？,股票,股票,True,0.9505465030670166
302,43,高送转为什么受市场追捧？,高送转为什么受市场追捧？,股票,股票,True,1.0000001192092896
304,57,什么是可转债？,可转债的交易规则是怎样的？,基金,股票,False,0.9189668893814087
313,224,老师推荐的股票能买吗？,老师推荐的股票能买吗？,股票,股票,True,1.0
319,56,基金和股票有什么区别？,什么是股票基金？,基金,基金,True,0.932908296585083
322,201,什么是m1、m2？,什么是m1、m2？,股票,股票,True,1.0000001192092896
324,283,收不到短信验证码是什么原因？,手机换了收不到验证码怎么办？,非金融,基金,False,0.9414772987365723
327,37,金银比达到多少时是买入白银的好时机？,金银比达到多少时是买入白银的好时机？,黄金,黄金,True,0.9999998807907104
329,50,macd金叉和死叉怎么看？,macd金叉和死叉怎么看？,股票,股票,True,0.9999999403953552
341,69,在银行买基金和在第三方平台买基金，手续费一样吗？,买卖etf基金和买卖股票的手续费一样吗？,基金,股票,False,0.917182207107544
346,18,债券的折算率是什么意思？,为什么债券的折算率会下调？,债券,债券,True,0.909102201461792
347,28,基金定投应该选择哪天扣款？,基金定投应该选择哪天扣款？,基金,基金,True,1.0
351,285,什么是跨境etf？,什么是跨境etf？,基金,股票,False,1.0
352,3,什么是lof基金？它和etf的区别是什么？,lof基金和etf有什么区别？,基金,基金,True,0.9668751955032349
353,173,什么是基金的“暂停申购”或“暂停赎回”？通常是什么原因？,基金暂停申购怎么回事？,基金,基金,True,0.9249367713928223
373,160,投资黄金股票和投资黄金本身，哪个更灵活？,黄金和债券哪个更安全？,黄金,黄金,True,0.9040204286575317
378,126,在哪里可以查到基金的官方公告？,在哪里能看到基金的持仓信息？,基金,基金,True,0.9017922878265381
384,267,etf联接基金和etf哪个先买？,etf联接基金和etf哪个先买？,基金,基金,True,1.000000238418579
387,218,免税牌照含金量有多高？,免税牌照含金量有多高？,股票,股票,True,1.000000238418579
407,59,哪些因素会影响黄金价格？,黄金的供需关系如何影响价格？,黄金,黄金,True,0.9435960054397583
408,398,营业执照怎么办？,营业执照怎么办？,非金融,非金融,True,1.0
416,50,macd金叉和死叉怎么看？,macd金叉和死叉怎么看？,股票,股票,True,0.9999999403953552
423,52,指数增强基金能跑赢指数吗？,什么是增强型指数基金？它真的能跑赢指数吗？,股票,基金,False,0.955071210861206
430,200,什么是基金的封闭期？,什么是基金的封闭期？,基金,基金,True,1.0
438,358,可转债可以一直持有不转股吗？,可转债会违约吗？如果正股退市了，我的转债怎么办？,债券,债券,True,0.9003919363021851
443,144,中短债基金风险大吗？,债券基金的风险大吗？,基金,基金,True,0.9503346681594849
444,210,盈利的股票要不要赶紧卖掉？,什么时候应该卖出股票？获利了结点和止损点怎么设置？,股票,股票,True,0.9123450517654419
445,90,什么是公司债？,什么是金融债？,债券,债券,True,0.9083397388458252
452,58,什么是黄金矿业公司的股票？,什么是黄金矿业公司的股票？,黄金,黄金,True,1.0
454,380,社保基金会配置黄金吗？,社保基金会配置黄金吗？,黄金,黄金,True,1.000000238418579
465,66,a股能否走出慢牛行情？,a股能否走出慢牛行情？,股票,股票,True,1.0
468,36,什么是题材股？如何捕捉市场热点？,什么是题材股？,股票,股票,True,0.9499896168708801
470,64,节前买国债逆回购划算吗？,国债逆回购怎么买？,股票,股票,True,0.9002587795257568
471,337,什么是规模因子（小市值效应）？,什么是规模因子（小市值效应）？,股票,股票,True,0.9999997615814209
477,119,黄金和现金哪个更能在危机中保值？,黄金和房产相比，哪个更保值？,黄金,黄金,True,0.9173659086227417
478,33,如何通过手机银行购买纸黄金？,如何通过手机银行购买纸黄金？,黄金,黄金,True,0.9999997615814209
482,3,lof基金和etf有什么区别？,lof基金和etf有什么区别？,基金,基金,True,0.9999998807907104
484,191,什么是操纵证券市场罪？,什么是操纵证券市场罪？,股票,股票,True,1.0000001192092896
488,59,黄金的需求主要来自哪里？,黄金的供需关系如何影响价格？,黄金,黄金,True,0.9137573838233948
491,124,黄金的长期实际收益率是多少？,黄金抵押贷款的利率是多少？,黄金,黄金,True,0.9170053005218506
495,60,如何分辨合法的黄金交易平台和非法的“黑平台”？,如何鉴别非法的黄金外汇交易平台？,黄金,黄金,True,0.9472993612289429
497,285,什么是跨境etf？交易时间怎么算？有汇率风险吗？,什么是跨境etf？,基金,股票,False,0.9423736333847046
513,81,什么是基金转托管？,什么是基金转换？,基金,基金,True,0.9276201725006104
519,26,购买实物黄金需要交增值税吗？,个人纸黄金交易的收益，需要缴纳个人所得税吗？,黄金,黄金,True,0.9223771691322327
520,236,什么是指数基金？,什么是指数基金？,基金,股票,False,0.9999998211860657
521,437,股票跌停了卖不出去怎么办？,股票跌停了卖不出去怎么办？,股票,股票,True,1.0000001192092896
528,397,收到监管函的股票能买吗？,收到监管函的股票能买吗？,股票,股票,True,0.9999998211860657
531,236,什么是恒生指数基金？,什么是指数基金？,基金,股票,False,0.9230302572250366
532,261,黄金价格波动大吗？,白银的波动通常比黄金大吗？,黄金,黄金,True,0.9198753237724304
534,3,什么是etf？和股票有什么区别？,lof基金和etf有什么区别？,股票,基金,False,0.906765878200531
537,422,电商发展对物流股的影响？,电商发展对物流股的影响？,股票,股票,True,1.0
538,479,如何看筹码分布图？,app上的筹码分布图怎么看？,股票,股票,True,0.964931845664978
543,104,什么是reits基金？,什么是reits基金？,基金,基金,True,0.9999997615814209
549,361,共享单车怎么退押金？,共享单车怎么退押金？,非金融,非金融,True,0.9999999403953552
558,518,未来黄金交易会不会完全数字化？,未来黄金交易会不会完全数字化？,黄金,黄金,True,0.9999998807907104
559,89,医药基金集采影响大吗？,集采对医药股的影响到底有多大？,基金,股票,False,0.920795738697052
561,40,利率变动对债券基金有什么影响？,利率变动对债券基金有什么影响？,基金,基金,True,1.000000238418579
562,3,etf和普通指数基金有什么不同？,lof基金和etf有什么区别？,基金,基金,True,0.9176145792007446
564,248,通胀挂钩债券怎么保护投资者收益？,什么是通胀挂钩债券？,债券,债券,True,0.9390510320663452
572,449,回购黄金时的手续费一般是多少？,金店回收黄金的价格是怎么定的？,黄金,黄金,True,0.9058192372322083
577,279,香港的黄金市场和内地有什么区别？,香港的黄金市场和内地有什么区别？,黄金,黄金,True,1.0
581,181,在金店买投资金条和在银行买有什么区别？,投资金条和金币有什么区别？哪个更好？,黄金,黄金,True,0.9077260494232178
585,456,什么是主动积存？,什么是主动积存？,黄金,黄金,True,1.0000001192092896
587,540,基金可以抵押贷款吗？,买了债券后，能抵押出去再借钱吗？,基金,债券,False,0.9007546901702881
591,553,ppi和cpi的剪刀差对债市影响？,cpi和ppi数据对a股的影响？,债券,股票,False,0.915457010269165
592,535,股市表现和黄金价格有关系吗？,原油价格和黄金价格有关系吗？,黄金,黄金,True,0.9301912784576416
595,455,基金涨了要不要止盈？,基金涨了要不要止盈？,基金,基金,True,1.000000238418579
597,113,股票开户需要准备什么材料？,如何开通股票账户？需要带什么材料？,股票,股票,True,0.9620789289474487
602,435,期权和期货有什么区别？,什么是期权？和股票有什么关系？（基础了解）,股票,股票,True,0.907607913017273
603,535,股市表现和黄金价格有关系吗？,原油价格和黄金价格有关系吗？,黄金,黄金,True,0.9301912784576416
605,455,基金亏损后能否止损？,基金涨了要不要止盈？,基金,基金,True,0.9097908735275269
611,345,在基金公司官网买基金费率低吗？,在基金公司官网买基金费率低吗？,基金,基金,True,0.9999997615814209
620,402,如何构建一个包含黄金的稳健投资组合？,如何构建自己的投资组合？,黄金,股票,False,0.9118655920028687
625,141,离婚时基金资产怎么分割？,离婚时基金资产怎么分割？,基金,基金,True,0.9999998807907104
629,356,什么是收盘集合竞价？,什么是集合竞价？,股票,股票,True,0.9259395599365234
637,144,债券基金的风险大吗？,债券基金的风险大吗？,基金,基金,True,1.0
639,401,什么是黄金etf？,什么是黄金etf联接基金？和黄金etf有什么区别？,股票,黄金,False,0.9356772303581238
640,290,什么是黄金定投？像基金定投一样吗？,黄金定投适合什么样的投资者？,黄金,黄金,True,0.9255673289299011
642,49,场外交易（otc）黄金合法吗？,香港的现货黄金（伦敦金）交易合法吗？,黄金,黄金,True,0.9190411567687988
643,469,股票涨跌幅限制是多少？,新股上市首日有涨跌幅限制吗？,股票,股票,True,0.9013020992279053
645,1,现在是牛市还是熊市？,熊市应该怎么操作？,股票,股票,True,0.9101347923278809
647,570,什么是t+0交易（全球视角）？,什么是t+1交易制度？,股票,股票,True,0.9214375019073486
653,633,什么是定投基金？,什么是估值定投？,基金,基金,True,0.9148648977279663
659,231,什么是内幕交易？,如何避免卷入内幕交易？,股票,股票,True,0.9178544282913208
662,22,进入退市整理期的股票怎么交易？,股票退市了，我手里的股票怎么办？,股票,股票,True,0.9055439829826355
664,148,“上海金”和“伦敦金”谁的影响力更大？,“上海金”和“伦敦金”谁的影响力更大？,黄金,黄金,True,0.9999999403953552
665,167,日本央行宽松政策对金价有影响吗？,日本央行宽松政策对金价有影响吗？,黄金,黄金,True,1.0
673,279,香港买黄金比内地便宜吗？,香港的黄金市场和内地有什么区别？,黄金,黄金,True,0.9256484508514404
674,560,什么是量化交易？,什么是量化基金？,股票,基金,False,0.9233462810516357
680,480,什么是分红送股？,什么是送转股？,股票,股票,True,0.9080506563186646
690,651,投资黄金稳定币和投资实物黄金一样吗？,投资黄金和购买金首饰是一回事吗？,黄金,黄金,True,0.9132311344146729
691,569,提取大额实物黄金需要什么手续？,提取大额实物黄金需要什么手续？,黄金,黄金,True,1.0000001192092896
696,273,央行出借黄金对市场有什么影响？,央行购金或售金对市场有什么影响？,黄金,黄金,True,0.9353064298629761
699,255,在中国，保险资金能投资黄金吗？,银行的保险箱业务可以保管黄金吗？,黄金,黄金,True,0.9008734226226807
708,107,如何评价一个基金经理的能力？要不要看他的从业年限？,如何评价一个基金经理？,基金,基金,True,0.9210694432258606
709,158,黄金能跑赢通货膨胀吗？,用黄金来对抗货币贬值，效果如何？,黄金,黄金,True,0.906751275062561
713,344,黄金投资是长线持有好，还是短线波段好？,长期持有黄金etf合适吗？,黄金,黄金,True,0.9000646471977234
717,103,黄金期货的交易单位是多少（一手多少克）？,黄金期货的交易单位是多少（一手多少克）？,黄金,黄金,True,1.0
725,402,自己构建基金组合要注意什么？,如何构建自己的投资组合？,基金,股票,False,0.9084981679916382
726,288,如何计算可转债的转股价值？什么时候转股划算？,可转债的转股价格会调整吗？除权除息怎么调？,债券,债券,True,0.9067916870117188
733,67,债券etf的分红怎么处理？,基金的分红方式有哪些？,债券,基金,False,0.9059264063835144
734,301,全面注册制实施后，对散户炒股有什么影响？是不是更难赚钱了？,注册制对散户有什么影响？,股票,股票,True,0.9520337581634521
736,404,什么是商誉减值？,商誉减值对股价影响大吗？,股票,股票,True,0.9126344919204712
737,24,2015年股灾的原因是什么？,2015年大牛市是怎么回事？,股票,股票,True,0.9043609499931335
741,26,黄金交易需要缴纳个人所得税吗？,个人纸黄金交易的收益，需要缴纳个人所得税吗？,黄金,黄金,True,0.9702392816543579
744,105,为什么金本位制会崩溃？,如果恢复金本位制会怎么样？,黄金,黄金,True,0.901718020439148
748,262,央行加息对债券市场是利好还是利空？,降息对债券基金是利好吗？,债券,基金,False,0.9214057922363281
749,738,什么是etf？,什么是货币etf？,股票,基金,False,0.936754047870636
750,67,如何修改基金的分红方式？,基金的分红方式有哪些？,基金,基金,True,0.9193545579910278
755,121,什么是管理费？什么是托管费？这些费用每天扣吗？,什么是托管费？,基金,基金,True,0.9348717927932739
757,299,极端恐怖袭击事件后，黄金价格通常怎么走？,国际局势紧张（战争、地缘政治）时，黄金价格一般怎么走？,黄金,黄金,True,0.9210063815116882
759,320,什么是基金的建仓期？,什么是建仓期？,基金,股票,False,0.9519217014312744
761,204,黄金和比特币，都说自己是数字黄金，哪个更靠谱？,黄金和数字货币（如比特币）有什么异同？,黄金,黄金,True,0.9303828477859497
762,390,支付宝里的黄金是黄金etf吗？,支付宝里的黄金是黄金etf吗？,黄金,黄金,True,1.0
768,400,黄金股的走势和金价走势有什么关系？为什么有时金价涨，黄金股不涨？,当金价上涨10%，黄金股一般会涨多少？,黄金,黄金,True,0.902121365070343
779,573,什么时候应该重仓？,什么时候应该空仓？,股票,股票,True,0.9171783924102783
784,632,什么是保险理财？,什么是保险理财？,股票,股票,True,1.0
786,675,什么是保证金交易？黄金期货的保证金比例是多少？,黄金期货的杠杆是什么意思？保证金是怎么计算的？,黄金,黄金,True,0.9441267251968384
789,4,什么是发起式基金？,发起式基金有什么特殊之处？,基金,基金,True,0.9588973522186279
794,102,什么是独角兽企业？,什么是独角兽概念股？,股票,股票,True,0.9261674880981445
804,401,什么是黄金etf联接基金？和黄金etf有什么区别？,什么是黄金etf联接基金？和黄金etf有什么区别？,黄金,黄金,True,0.9999999403953552
815,208,北交所和新三板是什么关系？,北交所和新三板是什么关系？,股票,股票,True,0.9999998807907104
820,441,忘记配股缴款了怎么办？,忘记配股缴款了怎么办？,股票,股票,True,0.9999998211860657
829,622,银行卖的金条和金店卖的金条有什么区别？,银行出售的“投资金条”和“工艺金条”有什么不同？回购价格一样吗？,黄金,黄金,True,0.9283362627029419
835,144,投资债券会亏钱吗？主要有哪些风险？,债券基金的风险大吗？,债券,基金,False,0.9234508275985718
841,359,市场过热时该不该买入黄金？,现在这个时间点（某个特定时刻，如春节前）适合买黄金吗？,黄金,黄金,True,0.9216578602790833
843,796,招募说明书主要看哪些内容？,什么是基金招募说明书？,基金,基金,True,0.9074543118476868
846,501,保险股的投资价值怎么看？,如何给保险股估值？,股票,股票,True,0.9377468824386597
856,290,黄金定投的手续费高吗？,黄金定投适合什么样的投资者？,黄金,黄金,True,0.900334358215332
857,632,什么是银行理财产品？,什么是保险理财？,股票,股票,True,0.9077723026275635
861,264,股票分红要交税吗？,债券基金分红要扣税吗？,股票,债券,False,0.9208464026451111
863,790,什么是基金的评级？晨星评级权威吗？,晨星评级是什么意思？,基金,基金,True,0.9117531776428223
865,565,什么是外盘和内盘？它们是如何反映买卖力量的？,外盘和内盘是什么意思？,股票,股票,True,0.916751503944397
867,718,黄金在个人资产配置中应该占多大比例？,我应该把多少比例的资产配置在黄金上？,黄金,黄金,True,0.9582390189170837
874,10,什么是基金组合？,什么是基金组合？,基金,基金,True,0.9999999403953552
878,871,私募基金和公募基金哪个好？,私募基金和公募基金有什么区别？,股票,基金,False,0.9570424556732178
880,206,黄金etf可以兑换实物黄金吗？,黄金etf可以做t+0交易吗？,黄金,黄金,True,0.9021304845809937
882,809,货币基金是否保本？,银行理财还能保本吗？,基金,股票,False,0.9198898077011108
885,681,什么是a股、b股、h股？,a股、b股、h股分别是什么意思？我通常能买哪种？,股票,股票,True,0.9367715120315552
886,57,可转债打新怎么操作？,可转债的交易规则是怎样的？,债券,股票,False,0.9043140411376953
887,770,什么是成长型基金？,什么是成长型基金？什么是价值型基金？,基金,基金,True,0.983272910118103
892,889,什么是市净率（pb）？它在什么行业比较适用？,什么是市净率（pb）？,股票,股票,True,0.9653891324996948
894,870,股票分红要交税吗？,股票盈利要交税吗？,股票,股票,True,0.9486879706382751
897,604,股票etf和普通股票有什么区别？,商品etf和商品期货有什么区别？,股票,基金,False,0.9118280410766602
899,364,什么是分级基金？,什么是分级基金？（虽然整改，但可能有存量客户问）,基金,股票,False,0.961381733417511
901,363,周末可以办理黄金回购业务吗？,周末和节假日可以交易账户黄金吗？,黄金,黄金,True,0.9402288794517517
903,695,噪音扰民怎么投诉？,噪音扰民怎么投诉？,非金融,非金融,True,1.0
906,3,什么是lof基金？,lof基金和etf有什么区别？,基金,基金,True,0.9272017478942871
908,310,市盈率（pe）是越高越好还是越低越好？,什么是市盈率（pe）？,股票,股票,True,0.9166427254676819
910,670,什么是融资买入？,融资买入和普通买入有什么不同？风险在哪里？,股票,股票,True,0.9330006241798401
920,606,什么是限价委托？什么是市价委托？,什么是限价委托？什么是市价委托？,股票,股票,True,1.0000001192092896
923,49,香港的现货黄金（伦敦金）交易合法吗？,香港的现货黄金（伦敦金）交易合法吗？,黄金,黄金,True,1.0
924,406,什么是成长股？,什么是蓝筹股？什么是成长股？,股票,股票,True,0.931384265422821
927,133,阿尔法和贝塔系数能说明什么？,什么是阿尔法（α）系数和贝塔（β）系数？,基金,基金,True,0.9601190090179443
930,826,雪球产品有什么风险？,什么是雪球产品？,股票,股票,True,0.9048378467559814
937,17,什么是食品饮料股？,什么是调味品股？,股票,股票,True,0.9105305671691895
938,604,股票etf和普通股票有什么区别？,商品etf和商品期货有什么区别？,股票,基金,False,0.9118280410766602
943,17,什么是调味品股？,什么是调味品股？,股票,股票,True,0.9999998807907104
946,424,认购和申购有什么区别？,什么是基金的认购？和申购有什么不同？,基金,基金,True,0.9520615339279175
947,868,债券基金主要投资什么？,什么是纯债基金？为什么不投股票？,基金,债券,False,0.9162209033966064
949,483,如果证券公司倒闭了，我账户里的债券还安全吗？,股票账户里的资金安全吗？,债券,股票,False,0.9103796482086182
950,8,怎么看股票的k线图？,怎么看股票的k线图？,股票,股票,True,1.0
951,692,什么是增持？,什么是增持？,股票,股票,True,0.9999998807907104
954,311,智能定投和普通定投哪个好？,什么是智能定投？,基金,基金,True,0.9337565302848816
955,114,基金账户销户怎么办理？,基金账户销户怎么办理？,基金,基金,True,0.9999997615814209
958,410,实物黄金变现（回购）方便吗？,实物黄金怎么回购？需要带什么凭证？,黄金,黄金,True,0.9002995491027832
959,314,巨额赎回对基金有什么影响？,理财赎回潮对债市有什么影响？,基金,债券,False,0.9026498794555664
964,12,投资海外市场的基金汇率风险大吗？,投资新兴市场债券的汇率风险？,基金,债券,False,0.9209184646606445
968,62,什么是黄金的支撑位和阻力位？,黄金价格的支撑位和阻力位怎么看？,黄金,黄金,True,0.9534310102462769
971,402,如何构建一个稳健的债券投资组合？,如何构建自己的投资组合？,债券,股票,False,0.9252794981002808
975,146,净值型理财怎么选？,净值型理财怎么选？,股票,股票,True,1.0000001192092896
976,588,什么是“伦敦金定价盘”？为什么它是全球基准？,黄金的定价机制是怎样的？什么是“伦敦金定盘价”？,黄金,黄金,True,0.9104999303817749
978,742,什么是5g概念股？,5g时代通信股的机会在哪里？,股票,股票,True,0.9124656319618225
980,35,什么是除息日？,什么是除息日？,基金,基金,True,1.0
981,415,黄金股（如山东黄金）和实物黄金有什么区别？,中国黄金的投资金条和山东黄金的有什么不同？,黄金,黄金,True,0.9053932428359985
982,59,大国之间的贸易摩擦如何影响黄金？,黄金的供需关系如何影响价格？,黄金,黄金,True,0.9015529155731201
984,163,什么是股指期货？,什么是股指期货？,股票,股票,True,1.0
985,2,什么是移动止盈？,什么是止盈和止损？如何设置止损位？,基金,股票,False,0.9007489085197449
986,406,什么是成长股？,什么是蓝筹股？什么是成长股？,股票,股票,True,0.931384265422821
